,0,CRe,DoubleCCRe,TripleCC,Bracket,Benzene,CycleRe,SingleCO,DoubleCO,Predict_LogS,Predict_LogP,Predict_Hansen_Polarity,Predict_Hansen_dis,Predict_Hansen_H_bond,error
0,iterration,,,,,,,,,,,,,,
2567,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
2723,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
152,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
2737,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
20,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
40,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
22,,10.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
3871,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
9695,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
8687,,10.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,-1.85,0.31,4.1,15.6,11.0,0.13999999999999915
161,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
7971,,10.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,-1.85,0.31,4.1,15.6,11.0,0.13999999999999915
4101,,10.0,0.0,1.0,3.0,0.0,0.0,6.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
2905,,10.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
302,,10.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,-1.85,0.31,4.1,15.6,11.0,0.13999999999999915
2321,,10.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
1,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
175,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
3235,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
3483,,10.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
3641,,10.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,-1.85,0.31,4.1,15.6,11.0,0.13999999999999915
2395,,10.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
32,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
168,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
28,,10.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
2997,,10.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
3639,,10.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,-1.85,0.31,4.1,15.6,11.0,0.13999999999999915
30,,10.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
2661,,10.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,-1.85,0.31,4.1,15.0,11.0,0.13999999999999915
4534,,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-3.497499999999995,2.08,20.1,18.6,16.6,0.16666666666664795
5234,,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-3.497499999999995,2.08,20.1,18.6,16.6,0.16666666666664795
3784,,11.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,-3.497499999999995,2.08,20.1,18.6,16.6,0.16666666666664795
2134,,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-3.497499999999995,2.08,20.1,18.6,16.6,0.16666666666664795
5897,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
5511,,10.0,0.0,1.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
383,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
5641,,10.0,0.0,1.0,3.0,0.0,0.0,7.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
104,,10.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
5643,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
343,,10.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
5703,,10.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,-1.27,0.31,2.9,17.7,11.0,0.2066666666666659
