,0,C,Double,Triple,Bracket,Cyclic,Predict,Error
0,iterration,,,,,,,
1,1,,,,,,,
2439,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
2444,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2445,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2446,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2447,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2448,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
2449,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2450,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
2451,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2452,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2453,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2428,,6.0,1.0,2.0,0.0,0.0,352.0833333333333,0.0
2427,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2426,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2425,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2389,,6.0,0.0,1.0,0.0,0.0,352.0833333333333,0.0
2393,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2395,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2396,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2398,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2401,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2403,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2408,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2454,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2410,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2416,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2418,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2419,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2420,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2421,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2422,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2423,,6.0,3.0,0.0,0.0,0.0,351.4,0.0
2424,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2414,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2591,,6.0,1.0,1.0,0.0,0.0,352.0833333333333,0.0
2456,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2460,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2540,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2542,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2544,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
2546,,6.0,0.0,2.0,0.0,1.0,352.0833333333333,0.0
2550,,6.0,0.0,2.0,0.0,1.0,352.0833333333333,0.0
2555,,6.0,0.0,2.0,0.0,0.0,352.0833333333333,0.0
