,0,CRe,DoubleCCRe,TripleCC,Bracket,Benzene,CycleRe,SingleCO,DoubleCO,Predict_LogS,Predict_LogP,Predict_Hansen_Polarity,Predict_Hansen_dis,Predict_Hansen_H_bond,error
0,iterration,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,
901,,12.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,-3.42,0.81,5.5,17.1,9.1,5.680000000000001
122,,10.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,-2.75,0.31,2.9,16.3,5.1,5.693333333333333
695,,8.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,-1.24,0.8,3.3499999999999996,15.2,8.1,5.7
834,,8.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,-2.463,0.8,4.1,15.3,8.1,5.7
728,,8.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,-1.86,0.8,4.1,15.3,8.1,5.7
796,,9.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,-2.485,0.8,7.2,16.3,7.2,5.72
247,,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-1.85,2.58,10.3,18.6,16.6,5.759999999999995
118,,10.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,-1.85,2.58,10.3,18.6,16.6,5.759999999999995
119,,9.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,-1.39,0.8,4.1,16.3,8.0,5.799999999999999
997,,9.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,-1.39,0.8,4.9,16.3,8.0,5.799999999999999
698,,7.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,-0.5812499999999995,0.76,4.5,16.1,11.0,5.910000000000004
123,,8.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,-3.71,0.2,5.4,16.3,6.0,5.933333333333334
584,,12.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,-4.196,2.08,10.3,18.6,16.6,5.9493333333333265
0,iterration,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,
9019,,10.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
8885,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
1699,,10.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
8895,,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
8329,,10.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,-3.889,-0.15,4.1,16.0,10.5,0.029333333333333655
6955,,11.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,-3.497499999999995,2.08,20.1,20.6,16.6,0.1366666666666468
