,0,C,Double,Triple,Bracket,Cyclic,Predict,Error
0,iterration,,,,,,,
1,1,,,,,,,
783,,6.0,1.0,0.0,1.0,0.0,334.0357142857143,4.561224489795921
242,,6.0,1.0,0.0,1.0,0.0,334.0357142857143,4.561224489795921
246,,6.0,1.0,0.0,1.0,0.0,334.0357142857143,4.561224489795921
451,,6.0,1.0,0.0,1.0,0.0,334.0357142857143,4.561224489795921
718,,6.0,1.0,0.0,1.0,0.0,334.0357142857143,4.561224489795921
119,,7.0,2.0,0.0,0.0,0.0,374.15,5.394366197183093
670,,7.0,3.0,0.0,0.0,0.0,374.15,5.394366197183093
137,,7.0,3.0,0.0,0.0,0.0,374.15,5.394366197183093
11,,7.0,3.0,0.0,0.0,0.0,374.15,5.394366197183093
760,,7.0,3.0,0.0,0.0,0.0,374.15,5.394366197183093
909,,7.0,2.0,0.0,0.0,0.0,374.15,5.394366197183093
173,,7.0,2.0,0.0,0.0,0.0,374.15,5.394366197183093
